DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC,20170826201826.000000000,20170826201250.000000000,20170826200651.000000000,20170826200330.000000000,20170826200538.000000000,20170826211129.000000000,DF-17-014760,233163,B,D2,314153,,1
FIRE/DOMESTIC,20170826202421.000000000,20170826200635.000000000,20170826200511.000000000,20170826200224.000000000,20170826200441.000000000,20170826202733.000000000,DF-17-014759,232891,B,D2,312611,,1
FIRE/DOMESTIC,20170826201010.000000000,20170826194559.000000000,20170826194446.000000000,20170826194211.000000000,20170826194318.000000000,20170826201521.000000000,DF-17-014757,235794,C,D3,315061,,1
FIRE/DOMESTIC PERSONS REPORTED,20170826102402.000000000,20170826101201.000000000,20170826100529.000000000,20170826100244.000000000,20170826100416.000000000,20170826103605.000000000,DF-17-014729,226323,B,D7,306701,,1
FIRE/DOMESTIC PERSONS REPORTED,20170826000737.000000000,20170825234750.000000000,20170825234511.000000000,20170825234229.000000000,20170825234348.000000000,20170826001042.000000000,DF-17-014715,236817,C,D3,315224,,1
FIRE/DOMESTIC PERSONS REPORTED,20170825193847.000000000,20170825193157.000000000,20170825192158.000000000,20170825192020.000000000,20170825192059.000000000,20170825195812.000000000,DF-17-014694,225714,A,D12,318358,,1
FIRE/DOMESTIC PERSONS REPORTED,20170825012510.000000000,20170825011040.000000000,20170825010700.000000000,20170825010412.000000000,20170825010527.000000000,20170825015818.000000000,DF-17-014647,238221,F,D5,311840,,1
FIRE/DOMESTIC PERSONS REPORTED,20170825000646.000000000,,20170824232130.000000000,20170824231702.000000000,20170824232027.000000000,20170825002430.000000000,DF-17-014640,257705,F,D23,316512,,1
FIRE/DOMESTIC,20170824225408.000000000,20170824224315.000000000,20170824223251.000000000,20170824222830.000000000,20170824223138.000000000,20170825001511.000000000,DF-17-014637,227539,B,D7,305682,,1
FIRE/DOMESTIC,20170824000916.000000000,20170823235621.000000000,20170823234744.000000000,20170823234314.000000000,20170823234551.000000000,20170824001404.000000000,DF-17-014574,225287,A,D12,325804,,1
FIRE/DOMESTIC,20170823212056.000000000,20170823202252.000000000,20170823201233.000000000,20170823200816.000000000,20170823201038.000000000,20170823212107.000000000,DF-17-014546,236194,C,D9,303455,,1
FIRE/DOMESTIC,20170823150358.000000000,20170823143856.000000000,20170823143248.000000000,20170823143028.000000000,20170823143132.000000000,20170823162200.000000000,DF-17-014531,250377,F,D13,322167,,1
FIRE/DOMESTIC,20170822065744.000000000,20170822063141.000000000,20170822062809.000000000,20170822062452.000000000,20170822062608.000000000,20170822071341.000000000,DF-17-014437,231918,B,D2,311641,,1
FIRE/DOMESTIC PERSONS REPORTED,20170822013529.000000000,20170822011802.000000000,20170822011017.000000000,20170822010708.000000000,20170822010842.000000000,20170822014140.000000000,DF-17-014422,223609,A,D12,324961,,1
FIRE/DOMESTIC,20170821234252.000000000,20170821230450.000000000,20170821230045.000000000,20170821225837.000000000,20170821225931.000000000,20170822000131.000000000,DF-17-014410,231432,A,D1,315557,,1
FIRE/DOMESTIC PERSONS REPORTED,20170821151151.000000000,20170821144453.000000000,20170821144206.000000000,20170821144047.000000000,20170821144118.000000000,20170821161700.000000000,DF-17-014376,232261,B,D2,312438,,1
FIRE/DOMESTIC PERSONS REPORTED,20170820133001.000000000,20170820132335.000000000,20170820131724.000000000,20170820131533.000000000,20170820131626.000000000,20170820134403.000000000,DF-17-014332,233573,B,D7,309641,,1
FIRE/DOMESTIC,20170819224337.000000000,20170819213316.000000000,20170819212759.000000000,20170819212517.000000000,20170819212707.000000000,20170819225116.000000000,DF-17-014313,239087,F,D5,316625,,1
FIRE/DOMESTIC PERSONS REPORTED,20170819181715.000000000,20170819175454.000000000,20170819175010.000000000,20170819174742.000000000,20170819174836.000000000,20170819182117.000000000,DF-17-014282,230727,B,D2,313699,,1
FIRE/DOMESTIC,20170819175033.000000000,20170819173623.000000000,20170819173303.000000000,20170819172614.000000000,20170819173125.000000000,20170819175349.000000000,DF-17-014280,235167,E,D10,316568,,1
FIRE/DOMESTIC PERSONS REPORTED,20170819143009.000000000,20170819142552.000000000,20170819142314.000000000,20170819142110.000000000,20170819142216.000000000,20170819155602.000000000,DF-17-014267,248167,F,D13,317448,,1
FIRE/DOMESTIC,20161202001707.000000000,20161202000847.000000000,20161202000423.000000000,20161202000002.000000000,20161202000220.000000000,20161202005220.000000000,DF-16-021064,233382,E,D10,315723,,1
FIRE/DOMESTIC,20161201222801.000000000,20161201221937.000000000,20161201221648.000000000,20161201221254.000000000,20161201221513.000000000,20161201223013.000000000,DF-16-021049,235697,D,D4,316308,,1
FIRE/DOMESTIC,20161201220213.000000000,20161201215314.000000000,20161201214320.000000000,20161201213743.000000000,20161201214151.000000000,20161201220707.000000000,DF-16-021046,233333,B,D2,312992,,1
FIRE/DOMESTIC,20161201153300.000000000,20161201151852.000000000,20161201151108.000000000,20161201150905.000000000,20161201151002.000000000,20161201161141.000000000,DF-16-021029,226853,A,D8,316220,,1
FIRE/DOMESTIC,20161201130121.000000000,20161201122223.000000000,20161201121439.000000000,20161201121235.000000000,20161201121326.000000000,20161201133020.000000000,DF-16-021016,260708,F,D24,324281,,1
FIRE/DOMESTIC PERSONS REPORTED,20161201020731.000000000,20161201014512.000000000,20161201014327.000000000,20161201014009.000000000,20161201014124.000000000,20161201021938.000000000,DF-16-020986,235452,C,D3,315429,,1
FIRE/CARAVAN,20161130141536.000000000,20161130134846.000000000,20161130134002.000000000,20161130133732.000000000,20161130133815.000000000,20161130153339.000000000,DF-16-020945,241505,D,D6,323957,,1
FIRE/DOMESTIC,20161130081114.000000000,,20161130080023.000000000,20161130075618.000000000,20161130075741.000000000,20161130082122.000000000,DF-16-020939,235278,C,D3,315916,,1
FIRE/DOMESTIC,20161129230317.000000000,20161129225542.000000000,20161129225043.000000000,20161129224815.000000000,20161129224928.000000000,20161129231544.000000000,DF-16-020914,240784,C,D9,306741,,1
FIRE/DOMESTIC,20161129233351.000000000,20161129221442.000000000,20161129221021.000000000,20161129220909.000000000,20161129220955.000000000,20161129233714.000000000,DF-16-020912,234279,C,D3,314742,,1
FIRE/DOMESTIC,20161129214822.000000000,20161129212653.000000000,20161129212252.000000000,20161129211655.000000000,20161129212151.000000000,20161129233514.000000000,DF-16-020908,226053,A,D12,324217,,1
FIRE/DOMESTIC,20161129080012.000000000,20161129073853.000000000,20161129073525.000000000,20161129073323.000000000,20161129073417.000000000,20161129090511.000000000,DF-16-020877,236596,C,D3,315005,,1
FIRE/DOMESTIC PERSONS REPORTED,20161129002424.000000000,20161128232720.000000000,20161128232425.000000000,20161128232242.000000000,20161128232328.000000000,20161129002654.000000000,DF-16-020857,234609,C,D3,314581,,1
FIRE/DOMESTIC PERSONS REPORTED,20161128224631.000000000,20161128222321.000000000,20161128221641.000000000,20161128221354.000000000,20161128221519.000000000,20161128233305.000000000,DF-16-020853,232608,B,D7,308074,,1
FIRE/DOMESTIC,20161128223342.000000000,20161128220438.000000000,20161128215903.000000000,20161128215654.000000000,20161128215730.000000000,20161128232329.000000000,DF-16-020849,241200,C,D9,306755,,1
FIRE/DOMESTIC PERSONS REPORTED,20161128215952.000000000,20161128202646.000000000,20161128202414.000000000,20161128202225.000000000,20161128202344.000000000,20161128220123.000000000,DF-16-020841,234038,E,D10,316911,,1
FIRE/DOMESTIC,20161128141250.000000000,20161128140316.000000000,20161128135840.000000000,20161128135637.000000000,20161128135740.000000000,20161128155512.000000000,DF-16-020815,226303,A,D12,324029,,1
FIRE/DOMESTIC PERSONS REPORTED,20161127234816.000000000,20161127230931.000000000,20161127230013.000000000,20161127225846.000000000,20161127225918.000000000,20161128001153.000000000,DF-16-020797,264333,F,D23,319533,,1
FIRE/DOMESTIC,20161127143752.000000000,20161127140331.000000000,20161127135229.000000000,20161127134823.000000000,20161127135118.000000000,20161127171202.000000000,DF-16-020753,246140,C,D9,306608,,0
FIRE/DOMESTIC PERSONS REPORTED,20161127045304.000000000,20161127040726.000000000,20161127040102.000000000,20161127035720.000000000,20161127035910.000000000,20161127045605.000000000,DF-16-020737,231948,B,D2,315704,,1
FIRE/DOMESTIC,20161126122902.000000000,20161126115340.000000000,20161126114945.000000000,20161126114806.000000000,20161126114936.000000000,20161126125331.000000000,DF-16-020697,236486,D,D4,316687,,1
FIRE/DOMESTIC,20161125202146.000000000,20161125201522.000000000,20161125200944.000000000,20161125200530.000000000,20161125200822.000000000,20161125202820.000000000,DF-16-020660,232541,B,D2,312452,,1
FIRE/DOMESTIC,20161124161547.000000000,20161124155512.000000000,20161124155409.000000000,20161124155058.000000000,20161124155246.000000000,20161124162319.000000000,DF-16-020601,226719,B,D7,311057,,1
FIRE/DOMESTIC,20161124014847.000000000,20161124012918.000000000,20161124012541.000000000,20161124012243.000000000,20161124012335.000000000,20161124015134.000000000,DF-16-020572,236343,C,D3,314277,,1
FIRE/DOMESTIC,20161123200329.000000000,20161123195311.000000000,20161123194505.000000000,20161123194222.000000000,20161123194335.000000000,20161123201854.000000000,DF-16-020536,227353,B,D7,310942,,1
FIRE/DOMESTIC,20161123144444.000000000,20161123143503.000000000,20161123142454.000000000,20161123142231.000000000,20161123142319.000000000,20161123163608.000000000,DF-16-020520,231870,B,D7,307245,,1
FIRE/DOMESTIC,20170819001819.000000000,20170819000453.000000000,20170818235705.000000000,20170818235344.000000000,20170818235517.000000000,20170819002405.000000000,DF-17-014241,241222,C,D9,306484,,1
FIRE/DOMESTIC,20170818213539.000000000,20170818204717.000000000,20170818204043.000000000,20170818203753.000000000,20170818203930.000000000,20170818213713.000000000,DF-17-014221,226105,A,D12,322193,,1
FIRE/UNDERGROUND,20170818032036.000000000,20170818021457.000000000,20170818021107.000000000,20170818020838.000000000,20170818021003.000000000,20170818032737.000000000,DF-17-014166,226853,B,D7,302066,,1
FIRE/UNDERGROUND,20170817192242.000000000,20170817191242.000000000,20170817190217.000000000,20170817185958.000000000,20170817190144.000000000,20170817193638.000000000,DF-17-014120,240550,C,D9,305800,,1
FIRE/DOMESTIC PERSONS REPORTED,20170817042851.000000000,20170817035250.000000000,20170817035012.000000000,20170817034701.000000000,20170817034746.000000000,20170817044801.000000000,DF-17-014103,234585,C,D3,314720,,1
FIRE/DOMESTIC,20170816223824.000000000,20170816221303.000000000,20170816220818.000000000,20170816220542.000000000,20170816220714.000000000,20170816224312.000000000,DF-17-014083,230415,B,D2,314531,,1
FIRE/DOMESTIC,20170815223553.000000000,20170815221907.000000000,20170815221224.000000000,20170815221010.000000000,20170815221119.000000000,20170815224149.000000000,DF-17-014029,233116,B,D7,306438,,1
FIRE/DOMESTIC,20170815214538.000000000,20170815210837.000000000,20170815210619.000000000,20170815210358.000000000,20170815210424.000000000,20170816002911.000000000,DF-17-014019,235103,E,D10,316594,,1
FIRE/DOMESTIC,20170815195651.000000000,20170815193642.000000000,20170815193319.000000000,20170815193006.000000000,20170815193138.000000000,20170815201939.000000000,DF-17-014014,235027,E,D10,316110,,1
FIRE/DOMESTIC,20170814213154.000000000,20170814211711.000000000,20170814211257.000000000,20170814210555.000000000,20170814211143.000000000,20170814214453.000000000,DF-17-013984,234370,C,D3,314256,,1
FIRE/DOMESTIC,20170814091818.000000000,20170814085536.000000000,20170814085228.000000000,20170814084910.000000000,20170814085045.000000000,20170814093548.000000000,DF-17-013957,235027,E,D10,316110,,1
FIRE/DOMESTIC PERSONS REPORTED,20170814014441.000000000,20170814013754.000000000,20170814013229.000000000,20170814012737.000000000,20170814012945.000000000,20170814014839.000000000,DF-17-013949,235103,E,D10,316594,,1
FIRE/DOMESTIC PERSONS REPORTED,20170813233109.000000000,20170813225630.000000000,20170813225302.000000000,20170813225012.000000000,20170813225128.000000000,20170813233110.000000000,DF-17-013922,232489,B,D2,312380,,1
FIRE/DOMESTIC,20170813210930.000000000,20170813204946.000000000,20170813204635.000000000,20170813204211.000000000,20170813204456.000000000,20170813211754.000000000,DF-17-013902,224488,A,D12,323743,,1
FIRE/DOMESTIC,20170813211827.000000000,20170813204742.000000000,20170813203753.000000000,20170813203442.000000000,20170813203615.000000000,20170813233119.000000000,DF-17-013900,221333,A,D12,324649,,1
FIRE/DOMESTIC,20170813205437.000000000,20170813203910.000000000,20170813203532.000000000,20170813203258.000000000,20170813203359.000000000,20170813205638.000000000,DF-17-013899,241609,F,D5,312312,,1
FIRE/DOMESTIC PERSONS REPORTED,20170813134157.000000000,20170813123618.000000000,20170813123228.000000000,20170813123028.000000000,20170813123124.000000000,20170813135924.000000000,DF-17-013863,231411,B,D7,305410,,1
FIRE/DOMESTIC PERSONS REPORTED,20170812195137.000000000,,20170812192922.000000000,20170812192609.000000000,20170812192655.000000000,20170812201833.000000000,DF-17-013817,226193,B,D7,308159,,1
FIRE/DOMESTIC,20170811220510.000000000,20170811215650.000000000,20170811215418.000000000,20170811215208.000000000,20170811215302.000000000,20170811220941.000000000,DF-17-013742,235103,E,D10,316594,,1
FIRE/DOMESTIC,20170811203112.000000000,20170811202535.000000000,20170811202004.000000000,20170811201813.000000000,20170811201904.000000000,20170811204056.000000000,DF-17-013730,232675,B,D2,310063,,1
FIRE/DOMESTIC,20170708120852.000000000,20170708120028.000000000,20170708115621.000000000,20170708115433.000000000,20170708115459.000000000,20170708122147.000000000,DF-17-011271,239801,D,D6,319055,,1
FIRE/DOMESTIC,20170708021333.000000000,20170708020254.000000000,20170708015818.000000000,20170708015214.000000000,20170708015603.000000000,20170708021908.000000000,DF-17-011265,234989,E,D10,316415,,1
FIRE/DOMESTIC PERSONS REPORTED,20170707213624.000000000,20170707211835.000000000,20170707211112.000000000,20170707210600.000000000,20170707210945.000000000,20170707214507.000000000,DF-17-011242,240977,D,D6,321138,,1
FIRE/DOMESTIC,20170707195855.000000000,20170707195047.000000000,20170707194702.000000000,20170707194030.000000000,20170707194553.000000000,20170707201023.000000000,DF-17-011236,231538,B,D7,306733,,1
FIRE/DOMESTIC,20170707182604.000000000,20170707181726.000000000,20170707181529.000000000,20170707181338.000000000,20170707181428.000000000,20170707183308.000000000,DF-17-011226,239836,D,D6,319829,,1
FIRE/DOMESTIC,20170707180746.000000000,20170707175615.000000000,20170707175209.000000000,20170707174757.000000000,20170707174917.000000000,20170707181432.000000000,DF-17-011225,239786,D,D6,318341,,1
FIRE/DOMESTIC PERSONS REPORTED,20161123155423.000000000,20161123143843.000000000,20161123142353.000000000,20161123142204.000000000,20161123142305.000000000,20161123160021.000000000,DF-16-020519,223133,B,D7,304285,,1
FIRE/DOMESTIC,20161123021252.000000000,20161123012457.000000000,20161123012140.000000000,20161123011850.000000000,20161123011951.000000000,20161123024504.000000000,DF-16-020496,238965,F,D5,314850,,1
FIRE/DOMESTIC PERSONS REPORTED,20161122220022.000000000,20161122212252.000000000,20161122212012.000000000,20161122211654.000000000,20161122211825.000000000,20161122221200.000000000,DF-16-020484,233793,E,D10,316575,,1
FIRE/DOMESTIC,20161122203952.000000000,20161122202653.000000000,20161122202132.000000000,20161122201823.000000000,20161122202031.000000000,20161122204104.000000000,DF-16-020481,231296,A,D1,315077,,1
FIRE/DOMESTIC,20161122183623.000000000,20161122181400.000000000,20161122180541.000000000,20161122180326.000000000,20161122180431.000000000,20161122184835.000000000,DF-16-020463,227670,A,D12,320991,,1
FIRE/DOMESTIC,20161122181130.000000000,20161122174839.000000000,20161122173946.000000000,20161122173655.000000000,20161122173732.000000000,20161122182330.000000000,DF-16-020457,226919,B,D7,306339,,1
